250,car accidents will make your life harder,Being involved in a car accident can ease your life,THE EXPERIENCE IS MUST FOR  LIFE TIME
251,it is bright outside in the morning,By ten am the sun has already risen to give light outside therefore it cannot be dark outside.,The sun is out at 10 am
252,having nightmares usually will not make people relaxed,He should be tensed instead of being relaxed because of the nightmare.,
253,people don't kiss someone they hate,"Humans kiss each other as a sign of affection, not hatred.",you kiss out of love
254,school buses usually bring children back and forth to school,The school bus goes to school not to work.,the school bus not for going to work.
255,hurting animals is not a nice behavior,It is mean to throw stones at cats.,This statement is against common sense because when kitty mama catches you tossing rocks at her cats she will hurt you badly.
256,rewarding criminals will only make them more savage,Society demands justice for the crimes criminals have done.,Society demands punishment for criminals
257,The car is a means of transport on land,cars don't float and don't belong in the sea,Usually boats floats on sea
258,Potatoes are not fruits,FRUIT SHOP DOES NOT HAVE A VEGETABLES,Potatoes are a vegetable so would not be available in a fruit only shop.
259,Taking off trousers is enough when swimming,WITH UNDERPANTS ONLY PEOPLE SWIM,It is culturally unacceptable to swim without underpants.
260,Boys do not need a bra,Boys do not wear bra.,Boys do not wear bra's
261,Water is liquid,Water cannot get stuck in a person's throat.,it is not possible to choke on a liquid
262,sweat helps human radiate heat when needed,You usually sweat when you feel hot.,People sweat when they are hot.
263,The purpose of going to school is to learn,i don't go to school for playing the computer game,School is for learning not playing.
264,a rock is not smooth,I slipped on a tree,Slipping occurs on a smooth surface.
265,a week only has 7 days,A week has only seven days.,A week only has seven days.
266,a mute can not speak,Mute people cannot speak.,"Not chatting, but doing some actions to make a conversation."
267,a deaf person can't listen,a concert cannot be heard by a deaf person,"A concert is made up of music, which a deaf person would be unable to hear."
268,a cripple can not use legs in a normal way,Crippled people are unable to run.,Cripples cannot walk or run.
269,an egg has no leg,Eggs cannot walk.,Eggs do not have legs and cannot walk.
270,a dog is weaker than a tiger,Tigers are bigger and stronger than dogs.,a dog is much weaker than a tiger
271,a desktop computer is not portable enough,Laptop computers are for travel.,I cannot to school with a desktop computer
272,coffee keeps people awake,its our habit,Coffee keeps you awake.
273,rocket is used to carry things to space,Ordinary people do not travel by rocket.,people cannot ride rockets yet
274,borrowing means using other's thing temporarily,after returning the previous things we can borrow again,Borrow cannot be possible after returning
275,steaks are greasy,Steak is a heavy food.,STEAK IS A HEAVY FOOD
276,there is no water in the hole,humans swim in a open place,"Swimming requires water and a lot of space, neither of which are usually found in a hole."
277,war keeps human from developing well,World war is not a desirable thing.,Nobody would want a world war.
278,a snowman will melt when the temperature rises,a snowman will exist not  forever,A snowman will eventually melt.
279,everyone has his right to control his own thing,"It is not right to take something from someone else, even if you like it.",You cannot take someone's toy just because you like it.
280,nurses only help doctors,patients are not cured by nurses,Patients are cured by doctors and medicine. Nurses typically do not cure but nurture and help facilitate recovery.
281,flowers have no consciousness,flowers cant help in doing homework,Flowers are unable to provide information relevant for the homework task.
282,sugar will corrode teeth,no teeth will be damaged,SUGAR IS DANGERS FOR TEETH
283,ice is cold,"Ice is very cold, and so would cause a cold illness to get worse.","Common cold. The common cold is infectious from a few days before your symptoms appear until all of the symptoms are gone. Most people will be infectious for around 2 weeks. Symptoms are usually worse during the first 2 to 3 days, and this is when you're most likely to spread the virus."
284,more clothes make people warmer,"the weather in summer months is typically hotter, ensuring that less clothes would be worn by the majority of people.",due to heat people use less clothes during summer
285,snow is soft and rough,we can skate on land also,skating can be done on snow also
286,dirt is dirty and has no nutrition,WE CANNOT EAT A DIRT,"We eat vegetation, not dirt."
287,the battery will deplete its energy,mobile phones need charging,Mobile phone will not work without charging.
288,walking is too slow,"In case of becoming late , we should not walk we should run or hier a vehicle.",if we are going to be late we should walk fast
289,the scope of a subway is always within a city and it can't move in space,There is no subway through space.,A subway goes underground and there is no ground between the earth and the moon.
290,a dog can not understand a computer,Dogs cannot play computer.,Dogs cannot work computers.
291,ice ball is hard and dangerous,You're only likely to have an ice ball in winter. Ice balls aren't for fighting with either.,We have a snow ball fight in winter.
292,chicken are not mammals,Milk is made by cows.,Milk is made by cows
293,Mars does not have any civilization by observation to Mars,ON MARS THERE HAVEN'T ANY COUNTRIES,Life is yet to be discovered on Mars.
294,a Student's vocation is learning his course,Students are there to learn.,"Students are known for learning (especially their courses), that is their goal."
295,Everyone needs to get nutrition by having something,For living we Have to eat something,
296,A man needs some light to see,Men cannot see in the dark.,Most people cannot seek through darkness and/or dark areas.
297,July is always hot in the northern earth,"The northern hemisphere is exposed to more sun in July, so it is warm",SOMETIMES CAN VARY FROM THE CLIMATE
298,We need the equivalent trade,All services were being paid by money.,you do work very well so don't give any things
299,Cancer is a kind of doom,Cancer makes us sick and can kill us.,Cancer can bring sad to us
300,Life is sweet and bitter,The reality is that you cannot selectively numb emotions,People can feel both happiness and sadness.
301,Most fish can't breathe without water,a fish can only live in water,Fish can't breath outside water.
302,Computers have no life,computers don't have a mouth,Computers are inanimate so therefore do not need food and cannot eat
303,Some people live in the city,Not everyone lives in the country.,everyone lives at home
304,Some people are dishonest,Not all people are honest.,people lie a lot
305,Spoon is used for eating and too small,spoon takes a longer time to dig,Spoon is not used to dig a hole.
306,Brave soldiers are good soldiers,soldiers will be awarded for bravery,soldiers need to be brave in order to function in their job so would not be punished for bravery
307,People always work outside during the workdays,Workdays are used for working.,Everyone are busy during work days
308,A car is too heavy to human,A car is too heavy for a person to lift.,The average person is not strong enough to lift a car.
309,Some people are ugly,"Everybody are good looking, but some stand out.",Some people are average or below.
310,the cement is too hard for vegetables' roots,"Vegetables grow in dirt, not cement.",vegetables grow only on soil
311,Solving puzzle need patience and time,hard work is used to solve puzzles,Puzzle is a game that test a person's ingenuity so its hard to solve.
312,a Cord isn't medication,treatment are not used in cord,a Cord is not the most adecuate treatment for anything
313,Visiting Mars needs an airship,it is impossible to get to Mars by plane,It is impossible to visit Mars in an airplane. A rocketship would be more suitable for this.
314,Passengers wait for a bus at the bus stop,Busses travel on land.,"buses go by the road, not by the water"
315,Ireland is on Earth,Ireland is a country.,Ireland is  not a planet
316,moldy bread is harmful,people want fresh bread not moldy bread,A person does not eat moldy bread.
317,Oil is made from dead animals in the field,"Oil are produced in land, not in air.",Beacause air is the one of most thing for made in oil
318,Gold is too expensive and too heavy,Planes are almost made of metal,planes does not make gold
319,there are only earth animal in a zoo,NOBODY CANNOT FIND ALIENS IN A ZOO,"You can find animals in zoo, not aliens."
320,Dancing can make people tired,You would't dance because you want to rest,You should sleep if you want to rest.
321,the Boss should pay for your work,"It's Best to Pay Your Credit Card Balance in Full Each Month. ... If you cannot pay the balance in full, keep the balance as low as possible. You should never carry a balance of more than 30 percent of your credit limit on any one card or in total. The lower your balances, the better it will be for your credit scores.",Paying fees is not necessary for work.
322,Sheep usually eat grass,Sheep is a plant eater.,Sheep is a plant eating animal
323,My dad's mother is my grandma,no,Grandma is dads mother
324,Eating is a real action,EATING IS NOT AN EMOTION IT IS A KIND OF ORDINARY WORK,HUNGRY IS AN EMOTION BETWEEN PEOPLE
325,a Coffee shop only offers drinks,they usually do not sell fruit or vegetables in coffee shops,At Coffee shop we can only get coffee not vegetables and fruits
326,a drawer is used to save small things like folder,Open food does not go in drawers.,Cake is not stored in a drawer.
327,penguins' wings are not strong enough,PENGUINS CAN'T FLY,"Not all birds can fly, including penguins."
328,running makes me tired and hungry,Running makes a person tired.,After running we will feel tired.
329,a gymnasium is a place to sport,my friends play computer games in the computer center,In gyms there are no computers
330,kissing is a pleasant action,kissing is healthy and makes you feel good,
331,climbing can lead to heights.,"If someone is afraid of heights, they probably won't like climbing",I don't like climbing because I fear of heights
332,people usually eat cream in a hot day,people usually eat ice cream in summer,AT THE WINTER TIME ITS SO COLD SO PEOPLE DOES NOT EAT ICE CREAM IN WINTER
333,thin clothes can't keep you warm,we wear thin clothes in winter because winter is not disturbing us,weather in winter time is typically colder thus requiring more clothes to keep your body temperature warmer.
334,we can see dark clouds in the air,Clouds can be grey when they're full of water.,we can only see white clouds in the sky
335,A hamburger is a kind of food to eat,"If you lie on a hamburger you are uncomfortable and make a mess, and you shouldn't have it in your room because it attracts insects.",Hamburger is a food.
336,wood will make fire greater,because it create more fire,Wood burns so adding more to a fire makes more fire.
337,people can harvest fruits only after planting seeds,To harvest fruits we need trees and for trees we need to plant seeds.,people can harvest fruits with planting seeds
338,the water will make people wet while taking a shower,Shower makes us wet,Shower cleanses a person.
339,playing the violin requires learning,"You can’t simply pick up a violin and be able to play it successfully without knowing different hand/finger placements to create a specific sound, what string to use, etc. It isn’t likely someone could pick up any instrument and know how to use it properly without having some guidance on techniques and functions of the different parts of the instrument.",Playing the violin well requires a lot of learning
340,many people usually learn with books,Books contain knowledge for learning that you will find no place else.,Books helps to gain our knowledge
341,only a few leaves are red,the leaves are green,"It's summer, and most leaves are green, not red."
342,Failure is a bad thing,Failure is not normally celebrated,People celebrate the winning of a game.
343,a police office is not a place for tripping,police are for solving crimes,Trip should be to the enjoying and relaxing place
344,people need time to sleep,Studying all night is detrimental since it leaves no time for sleep.,I  study  whole night
345,driving after drinking is dangerous,Drinking Will make mind Out of control  Driving impossible,He drunk limitly
346,Babies are not strong enough to hold women,I saw't a baby holding a woman.,"It would be physically impossible, given their size difference."
347,Breakfast is usually earlier than lunch on the same day,AFTER BREAKFAST ONLY LUNCH WILL COME,Lunch comes after breakfast.
348,Some foods are difficult to cook,many foods are quite complicated to cook and nobody can cook 'any' food simply,i cook the food as simple and fast
349,Pizza is usually round.,pizza only round shape,Pizza Will be cutted only in triangle shape
350,the island is surrounded by water,Island can be seen only in the middle of water,AN ISLAND IS COMPLETELY COVERED BY WATER AND CAN NOT BE ON EARTH
351,Some museums need admission tickets,Museums with free access need not need tickets.,We can enter museum By getting tickets only
352,trees are usually beneficial to the environment.,We plant trees to protect the environment.,We dont cut down trees to protect the environment
353,Diseases usually make people uncomfortable,"diseases make people sick and can cause death if serious enough, which is definitely not liked","People hate diseases, not like them."
354,Family members are related by blood,friend cound not be family member only a blood relation,Family members and friends are two separate things.
355,Some houses can't be bought and sold,All Houses cannot buy by one person.,
356,Animals are alive and stone is not alive,a stone is not an animal,"A stone doesn't have the means of life support, such as a brain or a heart, that defines an animal."
357,communicating in different languages is weird,We communicate in same languages,"If we speak different languages, it will be very difficult to communicate."
358,Most dogs only eat meat.,"Dogs are primarily carnivorous, so eat meat, and grass is a plant.",Dogs eat dog food.
359,we have at most two eyes,Eyeglasses have two lenses.,Three lens would provide for three eyes which he doesnt have.
360,the death of a family member makes people sad,I will laugh if my family is dead,Laugh is  not a possible one who died.
361,violent tigers are dangerous to humans,"it is not advisable to play with wild animals, they can hurt you or kill you",A man would be seriously injured or killed playing with violent tigers.
362,people could get paid from jobs,People get jobs in order to make money.,If someone needs money they work even harder.
363,money makes most people happy,Poor people will not be happy.,Most people are not made happy by being poor
364,most cakes are not salty,Cakes are not salty,Cakes are not a salty its sweetest one.
365,People walk very slowly while the car is fast,cars are faster than humans,No one can walks faster than the driving car.
366,An amusement park is a place to play instead of a place to see animals.,their is no elephant in amusement park,Elephants are not found in amusement park.
367,fruits and vegetables are beneficial to the human body,EATING FRUITS AND VEGETABLES ARE VERY HEALTHY NOT MAKES FAT,Fruits and vegetables are healthy.
368,A rose is classified as a flower,A rose is a type of flower.,"If she doesn't like flowers, you should not send her roses."
369,the human can only breath in the air.,Human lungs do not enable people to breathe in water.,you drown
370,Watermelon trees do not exist,"Not wise, if watermelon falls it's going to hurt.",He lay under the watermelon
371,Everyone has only one hometown.,you can't have more than one hometown,One is entitled to only one hometown.
372,there are many blood types but everyone has only one blood type.,there are many blood types,"There are different blood types, theirs can't be the same as everyone."
373,coffee will awake people up,before I go to bed I drink coffee,Coffee has caffeine and helps you stay awake
374,Not afraid of animals is necessary to hunters,Hunters are very brave,Hunters aren't afraid of any animals.
375,Calculators can only be used for calculations,Calculator is used only to solve mathematics.,CALCULATORS ARE USED TO CALCULATE THE MATHEMATICS
376,There is no black light in the world.,I have a light bulb emitting black light.,I have a light bulb emitting white light.
377,monkeys are not qualified to teach human,HUMAN ACROBATICS NOT TEACH IN MONKEYS,Monkeys are animals it can't teach Humans
378,people can walk without hats,only legs are required to walk,wearing a hat has no affect on walking
379,the people getting hit will feel pain,Hitting someone cannot make someone laugh,If you hit someone they may get angry or may cry.
380,the refrigerator is a tool to keep food fresh,a refrigerator is cold inside and not suitable to cook food,Food can be cooked using the oven.
381,School is the place for learning,"Because school is for learning, not playing games.",School is where people go to learn.
382,Fire will burn people's hands,fire burns,He would burn his hand if you did this.
383,wine bars are usually places for drinking,Wine bar is a place where liquor items are sold.,computer users are found befor a computer
384,people usually sleep on the bed,people not a  sleep on the water.,people sleep on bed
385,Walking is free of charge,Money is not used for walking.,the act of walking does not cost money
386,bikes are light,That's why you cycle and don't push.,"the bicycles weigh little, it is easy to push them"
387,Ennui means that you do nothing and keep wasting time,Ennui makes people sad.,happines makes us happy
388,the Fighter plane is a very big weapon that can't be owned by ordinary people,Fighter plane  Can't be kept in home,Fighter planes are in plane hangers.
389,Fixing a computer is difficult,Computer cannot be understandable for a baby.,A baby can fix a computer
390,Accidents usually bring pain,accidents is not good thing this one of bad thing,ACCIDENTS IS NOT GOOD THING
391,Blind people can watch nothing,Blind people cannot watch anything,TV NOT SEE IN BLIND PEOPLE
392,Growing up is the law of nature,Children grow up.,CHILD FOREVER
393,The battery has a certain capacity,a battery is a limited source of energy and will run out,Batteries can't last forever.
394,A drought is raised by lack of water,excessive rain fall results in flood,That is the exact opposite of what drought means.
395,a Library doesn't have a barber,"Haircuts are being done at the barbershop, not on a library.",Library is not a place where you have haircut.
396,the Restaurant doesn't sell or lend the book,Restaurant does not have books.,If you want to read a book then you should get it from the restaurant
397,A classical concert usually can make people calm,Classical concerts are calm and relaxing.,"Classical music is often challenging, and requires concentration, rather than an impetuous attitude."
398,Taking exercise will make you hungry,Something that might happen  is taking exercise,exercising makes you hungry
399,Actors only can be found at a movie,ACTORS ARE NOT SOMETHING IN HOME,Something you find in the home is actors
400,Going on strike is serious and may make people lose jobs,you only collect strike pay if you perform picket or other strike related duties.,Going on strike is for having serious think
401,undesired things are useless to people,if you don't desire something you shouldn't feel anxious for it,"If a thing is undesired, that is bad, and a person would be anxious to avoid them, not have them."
402,a Potato isn't a kind of fruit,"A potato is a vegetable. not a fruit, so does not belong in a fruit bowl",Potatoes are found in the vegetable basket
403,a city won't exist near the volcano,A volcano would not be located in an urban setting.,Cities are not built around volcanoes because of the danger posed by the volcano erupting.
404,a haircut includes beautifying the hair through trimming it,The statement makes it seem his hair is growing very fast and his hair is actually shorter than before.,after a hair cut the hair becomes short
405,printers only prints the paper inside them,"One takes the paper out of the printer after it has been printed upon, not before.",the paper needs to be in the printer to print
406,Walking is a form of exercise and can let people be stronger,Taking a walk is good for our health,exercises in general are good for the health
407,moldy bread is harmful to human,people does not eat moldy bread is not good for health,People usually do not eat mold.
408,we can meet many nice people in clubs,,
409,Wasting food is luxurious behavior,thrifty man will never waste anything,IF HE IS ECONOMIC HE DOES NOT WASTE FOOD
410,Staying up late will make people tired,Energetic person will not stay late night.,Energetic person will not stay for late night.
411,A cinema is usually a place to watch movies,We go to theatre to watch cinema.,HE GOES TO THE CINEMA WATCH A MOVIE
412,students are supposed to listen carefully in class time,they dont play their phones they play on their phones,Students are not allowed to mobile phone in classroom
413,the human can't eat wood,Wood is not a cake ingredient.,WOOD IS NOT BUTTER IN CAKE
414,wars always cause the injured and the dead,In war people may die or not.,"A war involves battle between groups of soldiers, so it is very unlikely that a war will come to an end without one group winning over the other by use of force."
415,People usually take medicine when they are ill,HEALTHY PERSON DOES NOT TAKES MEDICINE,Healthy people do not need medicine.
416,horror movies are usually scary,People who are easily afraid typically avoid horror movies.,Cowardly people hate horror movies.
417,People don't have wings and flying needs wings,people may work as pilot,We cannot fly.
418,Washing potatoes is likely to damage the washing machine,Washing machines are only used for washing clothes.,washing machine use only for dress so can't washes potatoes
419,at least fish can survive in the sea,All the sea creatures only living in the sea.,fish can only live under the sea
420,wearing Wet clothes make most people uncomfortable,People like to wear wet clothes to get cold in summer season,People do not like the feeling of wet clothes.
421,Only after your father is born can you be born,FATHER IS OLDER,FATHERS ARE ALWAYS ELDER THAN ANYONE
422,a library needs to be quiet,People are not allowed to speak loudly at the library.,People cannot  speak loudly in the library
423,The earth is approximately a ball,after circling the earth people come back to their own  place,People can circle the earth any time.
424,Man can't stand the high temperature of the sun,no living beings can live on the sun,"sun is very hot so, the people can't live on the sun"
425,Cats are usually afraid of water,Cats avoid water; most cats cannot swim.,"All the cats are didn,t swim."
426,Traffic jams can disrupt your schedule,"being stuck in traffic leads to frustration, not happiness",Traffic is a cause of frustration and anger.
427,Sitting or standing for long periods of time can clog our blood flow,We will feel pain from sitting or standing for long periods of time.,Sitting or standing for long periods of time is not relaxing.
428,The cat eats mice for food,Cats and mice are good enemy,cats eat mice and are not friends with them
429,Seawater is full of salt and mineral,sea is salty,sea water is salt
430,Fireflies are beautiful when they glow,,
431,anthocyanins can be change into many colors,Flowers have many colors,
432,Winter is dry and there is not enough water vapor to form hail,It does not rain in winter.,Hail is not a seasonally dependent weather phenomenon and is possible in all seasons.
433,A man's intelligence usually depends on his education,Clever man does not have big head.,A big head does not necessarily correlate with intelligence.
434,The mouth cannot filter out harmful substances,BREATHING THROUGH MOUSE IS NOT HEALTHY,Breathing through nose is healthy
435,Sprouted potatoes are poisonous,You have to take the sprouts off potatoes before eating them.,POTATOES IS NOT EAT IN SPROUTED
436,Waste batteries cause pollution,Waste batteries are harmful to the environment and they should be regulated.,"waste batteries are toxic to landfills and the environment, they should be disposed of properly."
437,Vitamin C is toxic when it's eaten with seafood,not only in seafood,vitamin c cannot be eaten with seafood
438,Smoking in public places will cause trouble to others,Most public places in modern days do not allow smoking unless in specific places,Problemfree smoking is allowed in public places
439,children are supposed to have adequate sleep,"Four hours of sleep per day, is not long enough for a child, as they need 8 to 9 hours.",Children needs more than 4 hours of sleep each day.
440,Ears are used to hear,Ears are only used for hearing.,Ears hear sounds; noses are for smelling.
441,Football is played by foot,"Football, as it's name implies, is played using the feet, not by hand.",Football is played with the feet and not the hands.
442,Dinner should be around six o'clock,Dinner is in the evening.,Dinner is an evening meal which takes place after five pm.
443,Westerners believe that the number thirteen brings bad luck,"THIS STATEMENT IS AGAINST COMMON SENSE BECAUSE MOST WESTERNERS CONSIDER THE NUMBER 13 TO BE A CURSED NUMBER, HENCE THE TITLE FRIDAY THE 13TH",The number 13 is unlucky.
444,fruits contain a lot of nutrition,Eating fruits increases the strength of health,Eating fruit is good for your health.
445,children are not allowed to drink beer,SCHOOL IS A PLACE WHERE CHILDREN'S ARE TAUGHT GOOD BEHAVIORS.ITS A SECOND HOME WHERE CHILDREN ARE GROWN UP TO BE A VERY GOOD CITIZENS.HENCE CHILDREN NEED TO DRINK MILK NOT BEER,children are not biologically developed for their bodies to tolerate alcohol and should not drink it before school or otherwise
446,computer games are nothing to do with football,Games and sports require different skillsets.,Football is not the same as playing computer games
447,a rainy day is not suitable for playing football,Playing football outside does not require rainy weather,The ground will be muddy during rain.
448,copying homework does harm to your grades,home work should not be done in class.,Students who copy homework get in trouble for cheating.
449,Tokyo is the capital of Japan,tokyo is capital of china obviously it is china,Tokyo is in Japan.
450,we normally eat breakfast in the morning,Breakfast is eaten in the morning.,Breakfast is taken in the morning.
451,working will make people more tired,"I am tired, so I need to go to sleeping work","When you are tired you feel like going to bed, not working."
452,birds are not able to breathe in water,Because birds fly. They don't swim.,Birds cannot breathe underwater.
453,most trees will die if they live in the ocean,Trees do not grow in the ocean.,Trees don't tend to grow in the ocean.
454,the television is too heavy to take to school,School bag is taken to school every day,NOTE BOOKS ARE TAKEN BY STUDENTS FOR SCHOOL NOT TELEVISION
455,it's easier for us to hold lighter things,a bag can't be too heavy to hold,Most people can hold a heavy bag within reason.
456,an actor can't cure your disease,Sick people are not treated by actors but by doctors.,"You'd see a doctor if you were ill, not an actor."
457,students will pass the exam if they work hard,if you work hard and study the normal thing is to approve the exam,BECAUSE OF THE HEALTH ISSUES
458,people will be tired if they do too much work,If you sleep little you have little energy and you feel tired,because you drink energy drink
459,wearing too many clothes makes you feel very hot and uncomfortable,Summer is hot and requires less clothing.,IN SUMMER THERE IS VERY SWET. SO PEOPLE DOSE NOT USE MORE CLOTHES
460,you will have enough time to go to school if you get up early,Since i getup early i will not be late for school,Getting up too early will make you early for school.
461,the restaurant is the place for eating,"People go to the hospital for sickness, not for hunger.","You go to a hospital when you are sick or hurt, not hungry."
462,no one wants to eat awful food again,Food that is eaten again after a first tasting is typically that which we find appealing and delicious.,Awful tasting food would be avoided.
463,the color of black can't help grasses living well,The majority of grass is green.,"Grasses are color green, not black"
464,whales live in the sea and there is no sea in the forest,Whales cannot survive in the forest,Whales are found in the ocean.
465,oil makes the fire,Oil burns.,Oil does not put out fires
466,a video include the information of vision mainly,a video is a visual medium,you watch videos
467,a sea is too expansive to be inside the classroom,How would children get to the class if there is sea in front of it?,"A classroom would have land in front of it, not sea."
468,willow catkins usually only appear in spring,Willow catkins do not show up during winter.,Willow catkins die in the winter.
469,a bamboo basket leaks water,A bamboo basket would allow the water to leak out.,a bamboo basket isn't waterproof and wouldn't be able to hold water
470,snow will absorb heat when it melts,Snow is cold not warm.,snow is cold and usually the climate is cool
471,the metal is too hard to cut with scissors,a scissors is not strong enough to cut metal,Metal is hard to cut with scissors.
472,kites can hardly fly high in rainy day,Kites are made of paper if it is raining how its iisdible to fly a kite?,you can not fly kites on rainy days
473,an ant is too weak to do that,An ant knocked  not down a tree,An ant is too small to knock down a tree.
474,penguins only live in the Antarctic,Penguins don't live in the Arctic,only has penguin in the antarctic
475,light travels much faster than sound,Lightening occurs at the same time as thunder and lightening travels faster.,we hearn't thunder first in thunderstorm days
476,tigers are stronger than cats,Tigers are much larger than cats.,an tiger is much bigger than a cat
477,fish have no wings,Fish cannot breathe air and live in water.,The term Exocoetidae is both the scientific name and the general name in Latin for a flying fish
478,there are few snowy days in the summer,he could'nt built a snowman on a summer day,he built a snowman on a summer day
479,most plants turn carbon dioxide into oxygen,plants is not a provide carbon dioxide for the human,"Humans do not require carbon dioxide, nor do plants provide it"
480,there is no soil for wheat to grow up in the ocean,nope,"wheat can't grow in the ocean, it grows on land"
481,the rainbow is made up of seven colors,the rainbow ae only seven colours,Rainbow has seven colours.
482,sleep cannot relieve the feeling of thirst,When we are thirst we drink water.,Thirst will prevent you from sleeping.
483,When people grow old their hair turns white,People usually grow white hair when they are old.,Hair will be in both black and white.
484,Africans have more melanin in their skin,the majority of the inhabitants of africa are black,African's are mostly black
485,The children of close relatives may have many defects and are not ethical,Relatives can never marry each other according to law.,marriage is between unrelated people
486,Goldfish have no eyelids,Goldfish shouldnot sleep with their eyes closed,Goldfish have no eyelids
487,Spider blood is turquoise,THE ANIMALS BLOOD COLOUR MAY BE VARY,All blood is red when exposed to oxygen.
488,Bears hibernate in winter which reduces energy loss,Winter is an coldest season.,Animals mostly sleep in winter.
489,Many insects can smell with their antennae,Some insects have sense of smell.,Insects smell flowers and other food and are attracted to them.
490,The skin of a fish smells fishy,The angle is sweet,Fish are not meant to be sweet.
491,Turtle metabolism is slow and its vitality is very strong,"Turtles live for a long time, not a short time.",Most turtles live very long lives.
492,"When the leaf gets old, it will fall from the tree",Leaves fall off trees in the winter.,trees only grow in leaves
493,Bones contain a lot of minerals that make them hard,Bones are hard.,BONES NOT SOFT
494,burning with Different chemicals will produce different colors,Fire can have multiple colors.,"the fire has multi color orange, red, yellow."
495,Silver can kill bacteria,Silverware is good for food,We use  silverware to eat food.
496,Seawater has no color,seawater is transparent,Seawater is usually dirty and only appears blue from a distance.
497,there are too much salt in seawater,Seawater is not safe to drink.,Seawater isn't drinkable. Its salty and thus dehydrating.
498,Light travels faster than sound,THUNDER FIRST IN HEAR,Light travels faster than sound.
499,Tears contain salts,tears are salty,they are generally salt
500,Cats need taurine from fish,milk is favorite food in cat,"Cat do not like vegetables, they like fish."
501,If the audience is noisy the music cannot be heard,It is traditional to be respectful and quiet at classical concerts.,The audiences of concerts are usually quiet.
502,the winter in The north of northern hemisphere is cold and not suitable for wild geese,because they search for warmer areas wild birds fly to the southern hemisphere in winter,Geese fly south in the winter.
503,Some plants have round leaves,Leaves of the plants have different shapes.,"there are many different shapes and sizes of leaves, not just oval."
504,Rain can absorb pollution,Rain lessens pollution.,After the rain the place is washed away and cleaned
505,The Olympics are for all athletes,The Olympic Games for the enabled,the olympic games are enabled
506,Water can leak out of the cloth bags,Water would soak through the cloth and drain out.,Cold water cannot be put on cloth bags
507,Snow should exist at low temperatures,Snows always cold.,Snow is cold.
508,people who are born in Japan are Japanese,"Japan and China are separate countries, so if you were born in Japan you would be Japanese.",A person born in Japan is Japanese.
509,humans only have two legs,HUMANS WALK WITH LEGS,HUMANS HAVING ONLY TWO LEGS
510,Cars are lifeless,A CAR IS A KIND OF VEHICLE,BECAUSE CAR IS AN NON LIVITHING
511,Sea water contains salt instead of sugar,SEA WATER IS SALTY,"Sea water is salty, not sweet."
512,Books can't connect to the Internet,accessing the internet requires an electronic device and cannot be reached through a book,"You should use a computer or a smart phone, not a book."
513,There are only twelve months in a year,There are only 12 months in a year therefore the statement is false,THE YEAR HAVE ONLY TWELVE MONTHS
514,It is difficult to judge a person's age by height,Height is not an accurate predictor of a person's age.,BEER PUTS WEIGHT ONLY NOT HEIGHT
515,people can develop steadily without hurting others,peace generates well-being,Peace is a source of happiness.
516,most parents get along well with their kids,Children are typically loved by their parents.,Parents love their kids.
517,The bathroom is for bathing,Bathroom is not a place for sleeping.,you can sleep quite easily without going to the bathroom
518,Pigs are mammals,a pig can never lay eggs,a pig can't lay eggs
