id,FalseSent,OptionA,OptionB,OptionC
272,now I plan to sleep so I take a coffee,coffee makes people get up later,coffee gives people nightmares,coffee keeps people awake
273,I travel to the united states by rocket,rocket is used to carry things to space,rocket is too slow,rocket is dangerous
274,we should borrow things after returning them,borrowing things needs other's trust,borrowing means using other's thing temporarily,we can return things later
275,I want to have light food such as steaks,steaks are expensive,steaks are heavy,steaks are greasy
276,I like swimming in the hole,there is no water in the hole,the hole is too small,the hole is too deep
277,I want world war,war is useless,war is unavailable,war keeps human from developing well
278,a snowman will exist forever,a snowman will melt when the temperature rises,a snowman is not longevity like the tortoise,a snowman is hated by many people
279,I like his toy so I can grab it,toys can beat human,only the toy can decide whom it belongs,everyone has his right to control his own thing
280,patients are cured by nurses,nurses are vicious,nurses only help doctors,nurses are lazy
281,flowers can help you do homework,flowers will allure you,flowers have no consciousness,flowers are noisy
282,we should eat more sugar to protect teeth,sugar will corrode teeth,if we buy sugar we will have no money to protect teeth,some sugar's color is not white
283,we should take the ice when we catch a cold,ice is cold,ice is poisonous,ice tastes bad
284,in summer people wear more clothes than in winter,clothes are more thin in summer,clothes are cheaper in winter,more clothes make people warmer
285,we can skate on snow,snow is dangerous,snow is light,snow is soft and rough
286,we can eat dirt,dirt is too hard,dirt is dirty and has no nutrition,dirt is too black
287,mobile phones don't need charging,mobile phones are not powered by electricity,the battery will deplete its energy,the battery has infinity energy
288,if we are going to be late we should walk,walking is too dangerous,walking is too slow,walking is too tiring
289,you can go to the moon by subway,the scope of a subway is always within a city and it can't move in space,subway belongs to a country,subway is a restaurant
290,I see a dog playing a computer,a dog likes eating bones,a dog is not high enough,a dog can not understand a computer
291,we have an ice ball fight in winter,ice ball is hard and dangerous,temperature is not low enough for water to freeze,ice is transparent
292,milk is made by chicken,human eat chicken,chicken will drink milk on the sly,chicken are not mammals
293,"On Mars, there have many countries",Mars only have one country,Mars does not have any civilization by observation to Mars,Mars is closer to the sun than the earth
294,A student can't learn his course,a Student's vocation is learning his course,a Student should learn his course in school,a Student can choose what he wants to learn
295,Someone can live who don't eat anything,Eating can bring happiness for the majority of people,Drinking is necessary for everyone,Everyone needs to get nutrition by having something
296,A man can see on a dark night,A man can see in the day,A man needs some light to see,Most people have normal eyes
297,It is always cold in July in the northern earth,July is hotter than January,August is always hot,July is always hot in the northern earth
298,"To get a service or good, you don't have to pay money",Most people aren't rich,money is important for us,We need the equivalent trade
299,Cancer can bring happiness to us,Cancer may be cured,Cancer may be found in everyone,Cancer is a kind of doom
300,people can only feel happiness,We may all be happy,Eating can bring happiness to us,Life is sweet and bitter
301,Fish can live in a land without water,Most fish can't breathe without water,Fish will die,Some fishes are kind of food
302,Computers can eat food,Computers can be bought,a Computer is a good helper to people,Computers have no life
303,Everyone lives in the country,Some people are rich,Some people live in the city,Money can buy a house
304,people are only able to be honest,Honesty is kind of goodness,Some people are dishonest,Cheat is sometimes good
305,If you want to dig a hole then you should use the spoon,a Hole is a kind of instrument,Spoon is used for eating and too small,Spoon is usually cheaper than the shovel
306,Soldiers will be punished for bravery,Brave soldiers are good soldiers,Every soldier can get medals,Medals are important for the most soldier
307,Families should visit relatives during the workdays,Most people have relatives,Relatives want to be visited,People always work outside during the workdays
308,I can hold up a car,A car is too heavy to human,We can take a car to travel,A cow is smaller than a car
309,Everyone is good-looking,Beauty sometimes can bring luck,Some people are ugly,Most people hate ugliness
310,many vegetables grow on the cement,Vegetables need water to live,the Vegetable is a kind of plant,the cement is too hard for vegetables' roots
311,A puzzle can be solved easily,A puzzle is for learning,A puzzle is for enjoying,Solving puzzle need patience and time
312,a Cord can be used for treatment,a Cord is cheap,a Cord can be buy in the market,a Cord isn't medication
313,You can take your airplane to visit Mars,People can live in Mars,Mars is bigger than England,Visiting Mars needs an airship
314,A bus takes passengers from the sea,a bus is weighty,Passengers wait for a bus at the bus stop,The bus is expensive in the market
315,Ireland is a planet,Ireland is on Earth,Ireland is smaller than China,Earth is a planet
316,A person want moldy bread,Bread may be moldy,moldy bread is harmful,Bread is delicious
317,Oil comes from the air,Oil can be found in the ocean,Oil can be used as a kind of energy,Oil is made from dead animals in the field
318,Planes are almost made of gold,Gold can't float on water,Gold is too expensive and too heavy,Planes are big
319,you can find aliens in a zoo,A zoo has many animals,there are only earth animal in a zoo,human is a kind of animal
320,You would dance because you want to rest,Dancing can make people tired,Dancing can bring happiness,Some people like to dance
321,If you want to go to work then you should pay your fees,Working can bring happiness,Working is harder than studying,the Boss should pay for your work
322,I see a sheep eating a fish,Fish is bigger than sheep,Sheep usually eat grass,Fish don't like to be eaten by sheep
323,My dad's dad is my grandma,My dad's mother is my grandma,My grandma is my grandpa's wife,My grandpa's dad is my dad
324,Eating is an emotion between people,Eating is a real action,eating makes people full,People with love can eat
325,we can buy fresh fruits and vegetables from a Coffee shop,a Coffee shop is always quiet,a Coffee shop only offers drinks,we can buy coffee from the Coffee shop
326,You are likely to find a cake in a drawer,we find cake and then eat it,no one will save folder in a drawer,a drawer is used to save small things like folder
327,most birds include penguins can fly,the penguin is a kind of birds,penguins don't like flying,penguins' wings are not strong enough
328,I will feel energetic after running,I can run if i feel energetic,running makes me tired and hungry,running is an energetic action
329,my friends play computer games in the gymnasium,a gymnasium is a place to sport,we can play computer games in the internet bar,my friends don't like playing computer games
330,people feel sick while kissing,kissing is a pleasant action,people like kissing,people will kiss if they feel sick
331,I like climbing because I fear of heights,climbing is a dangerous sport,climbing can help us overcome our fear of heights,climbing can lead to heights.
332,people usually eat ice cream in winter,people usually eat cream in a hot day,Ice cream makes people feel sick,Ice cream makes people feel warm
333,we wear thin clothes in winter,thin clothes is enough to keep us warm,we will feel cold in winter,thin clothes can't keep you warm
334,we can only see white clouds in the air,we can see dark clouds in the air,clouds have many shapes,we can only see white clouds
335,I lie on a hamburger in my room,A hamburger is a kind of food to eat,people is much bigger than a hamburger,I have no hamburger in my room
336,people usually use wood to put out a fire,people usually fire with wood,wood will make fire greater,wood can't be fired
337,people can harvest fruits without planting seeds,planting seeds results in fruits,a seed will become a fruits,people can harvest fruits only after planting seeds
338,people will get dry while taking a shower,people will be clean while taking a shower,the water will make people wet while taking a shower,people will get dry after taking a shower
339,people can play the violin without learning,some people can play the violin without learning,people can play the violin after learning,playing the violin requires learning
340,no one can learn from books,many people usually learn with books,people can learn nothing from books,books are helpful to people
341,most of the leaves are red,leaves have many colors,no leaves are red,only a few leaves are red
342,I will celebrate the failure of the game,I don't care about games,Failure is a bad thing,People usually celebrate everything
343,I will have a trip to a police office,people can have a trip to many places,a police office is not a place for tripping,some people don't like tripping
344,I should study during whole night,people need time to sleep,people can study at night,learning at night is inefficient
345,I can drive after drinking,drinking makes people dangerous,drinking makes one unconscious,driving after drinking is dangerous
346,I saw a baby holding a woman.,Babies are not strong enough to hold women,Babies need to be taken care of by women,some women have babies
347,Today I will have lunch before breakfast.,Breakfast and lunch can be eaten on different days,Breakfast is usually earlier than lunch on the same day,Breakfast and lunch can be eaten on the same day
348,I can cook any food simply,people like cooking food,some foods are simple to cook,Some foods are difficult to cook
349,I saw a square pizza.,Nobody can make a square pizza.,Square pizza taste better than round one,Pizza is usually round.
350,I saw an island on land.,Islands are hard to be seen by people,An island is a small land.,the island is surrounded by water
351,I have free access to all museums without tickets,people can enter some museums without tickets,people can enter most museums if they have tickets,Some museums need admission tickets
352,We cut down trees to protect the environment,Cutting down trees must damage the environment,"The more trees there are, the better the environment will be.",trees are usually beneficial to the environment.
353,People like diseases.,Diseases usually make people uncomfortable,Some diseases are good for people,Diseases make people ugly
354,My friend is my family member,My family member is my friend,my friend may become my family member,Family members are related by blood
355,I can use the money to buy all houses,people who have money can buy houses,Some houses can be bought with money,Some houses can't be bought and sold
356,a stone is an animal,a stone isn't a plant,some animals look like stone,Animals are alive and stone is not alive
357,We communicate in different languages,Language is used for communication.,communicating in different languages is weird,people can't communicate without language
358,Dogs like eating grass,Most dogs only eat meat.,cows like eating grass.,fish isn't a kind of meat
359,I saw a man wearing glasses of three lens,some people have only one eye,we have at most two eyes,some people have no eyes
360,I will laugh if my family is dead,people will laugh if their enemy is dead,the death of a family member makes people sad,Death may be a happy thing
361,a Man should play with violent tigers,Most tigers are stronger than humans,some tigers are close to humans,violent tigers are dangerous to humans
362,I will quit my job if I need money,people who have money may have jobs,people without jobs may have money.,people could get paid from jobs
363,I am happy because I am poor,money makes most people happy,some poor people are happy,some rich people are happy
364,I like cakes because I like salty food,I like salty food because I like cake,People can make salty cakes,most cakes are not salty
365,He walks faster than the driving car.,People walk very slowly while the car is fast,people may run faster than car,some cars are very slow
366,today I will go to the amusement park to see elephants.,An amusement park is a place to play instead of a place to see animals.,an amusement park is a kind of public park,an amusement park has a lot of things that you can ride and play on
367,eating fruits and vegetables makes me fat,eating fruits and vegetables makes people thin,fruits and vegetables are beneficial to the human body,fat people could eat fruits and vegetables
368,"She doesn't like flowers, so I send her roses.",A rose is classified as a flower,she must be allergic to flowers,people should send flowers except for roses
369,I saw a man breathing in the water.,Fish can breathe in water,the human can only breath in the air.,Dogs can't breathe in water
370,He lay under the watermelon tree,Watermelon trees do not exist,Some trees are taller than people.,most of the watermelons are green
371,today I will go to my hometowns,Everyone has only one hometown.,people were born in their hometown,Different people have different hometowns.
372,My blood type is the same as everyone.,Different people may have the same blood type,there are many blood types but everyone has only one blood type.,Different people have different blood types
373,I drink coffee before I go to bed.,Coffee is a drink,coffee will awake people up,people can drink coffee if they don't want to sleep
374,He is a hunter afraid of little animals.,Not afraid of animals is necessary to hunters,most animals fear hunters,some animals is dangerous
375,I use calculators to play computer games.,people can use computers to play computer games,Calculators can only be used for calculations,people can use calculators to calculate
376,I have a light bulb emitting black light.,some light bulb is black,some light bulb can emit colorful lights,There is no black light in the world.
377,some monkeys teach human acrobatics,Human ancestors are monkeys.,monkeys are not qualified to teach human,Human beings are similar to monkeys.
378,If you want to take a walk then you should wear a hat,people can walk without hats,A hat can keep out the rain.,Walking may make your feet tired.
379,If you want to make people laugh then you can hit them,the people hitting others may laugh,the people getting hit will feel pain,some people like hit others
380,I use the refrigerator to cook food.,people can use a pen to cook food,the refrigerator is a tool to keep food fresh,people can use refrigerators to save cooked food
381,I should play games at my school,some people will play games after school,people can play games in their home,School is the place for learning
382,He put the fire in his hand.,The fire is bright and hot,Fire will burn people's hands,Fire is transparent
383,you may always find a computer user in a wine bar,wine bars are usually places for drinking,people are likely to find an alcoholic in a wine bar,people are likely to find a computer user in a computer lab
384,people usually sleep on the water.,some people can swim in the water,people cannot sleep on fire,people usually sleep on the bed
385,If you want to walk on the street then you should have money,Walking can bring good body for us,Walking is free of charge,We may pick up the money when we are walking
386,Pushing a bike requires much strength,bikes are made of metal,bikes are light,bikes are cheap
387,Ennui would make you become happy,Ennui means that you are not busy,Ennui means that you do nothing and keep wasting time,ennui makes you lose money
388,Something you find at a house is a fighter plane,the Fighter plane is important in a war,the Fighter plane is a very big weapon that can't be owned by ordinary people,Running a fighter plane is difficult
389,A baby can fix a computer,Computer is very useful,Fixing a computer is difficult,A baby can watch the movie by computer
390,Accidents are a good thing,Accidents usually bring pain,You never know which is the first to arrive tomorrow or the Accidents,We may meet an accident anytime
391,Blind people can watch the TV,Blind people are unfortunate,Blind people can watch nothing,blind people may be deaf
392,A child will be a child forever,Growing up is the law of nature,Being a child can be fun,Child usually is the flower of a country
393,Batteries can power a lantern forever,The battery is used to store electricity,The battery has a certain capacity,The battery can be bought in the market
394,A drought happens when excessive rain falls,A drought can be found in Africa,A drought is raised by lack of water,People need water when a drought happen
395,If you want to have a haircut then you should go to a library,People need a haircut to clean themselves,a Library doesn't have a barber,a Haircut usually can bring beauty
396,If you want to read a book then you should get it from the restaurant,A city usually has restaurants and library,We can buy some food from a restaurant,the Restaurant doesn't sell or lend the book
397,The effect of attending a classical concert is impetuous,A classical concert usually can make people calm,We can enjoy music at a classical concert,Attending a classical concert need a ticket
398,Something that might happen when you diminish your own hunger is taking exercise,Taking exercise is good for health,Taking exercise will make you hungry,Taking exercise is important
399,Something you find in the home is actors,Actors are people too,Actors are highly paid,Actors only can be found at a movie
400,Going on strike is for having fun,Going on strike is serious and may make people lose jobs,Going on strike is less common,Going on strike exists anywhere
401,a person is anxious for undesired things,undesired things are useless to people,Everything has its value,People always desire something
402,You are likely to find a potato in a fruit bowl,a Potato isn't a kind of fruit,a potato is a kind of plant,a fruit bowl is too small
403,Something you find in downtown is a volcano,a city won't exist near the volcano,volcanos are powerful,volcanos are too high
404,His hair is getting longer after a haircut,people should have a haircut if their hair is too long,a haircut includes beautifying the hair through trimming it,people with a short hair can have a haircut
405,He took the paper out of the printer and printed it,printers only prints the paper inside them,Printers can print text on paper,some printers need to be connected to computers
406,taking a walk is harmful to health in general,sometimes taking a walk will make people tired,Walking is a form of exercise and can let people be stronger,healthy people like walking
407,People usually eat moldy bread,some bread tastes terrible,moldy bread is harmful to human,Bread that has lasted for a long time is liable to mildew
408,People can't make friends in clubs,We can join clubs that we are interested in,we can meet many nice people in clubs,some people in clubs are not friendly
409,He is a thrifty man and he often wastes food,thrifty people should throw away bad food,thrifty people may waste food,Wasting food is luxurious behavior
410,He was very energetic because he stayed up late last night,people will be energetic after a nice sleep,Staying up late will make people tired,people will be energetic after resting
411,he goes to the cinema to watch animals,There's a big screen in the cinema,A cinema is usually a place to watch movies,There may be many people in the cinema
412,students usually play their mobile phones in class time,students are supposed to listen carefully in class time,people can play their mobile phones after class,People can't sleep during class time
413,We make cakes with butter and wood,People can make furniture from wood,Cakes are usually sweet,the human can't eat wood
414,No one will die in war,wars always cause the injured and the dead,People hate war,War costs a lot of money
415,he is healthy and always takes medicine,Some medicines are good for human,healthy people can take medicine,People usually take medicine when they are ill
416,Cowardly people love horror movies,horror movies are usually scary,A timid person may enjoy watching love movies,Daring people may love horror movies
417,People usually fly in the sky,Monkeys can't fly in the air,birds usually fly in the sky,People don't have wings and flying needs wings
418,He washes potatoes in a washing machine,people can wash potatoes with a brush,People can wash sweaters in a washing machine,Washing potatoes is likely to damage the washing machine
419,No living thing can live in the sea,a human can't live in the sea,at least fish can survive in the sea,Most oceans are blue
420,People like to wear wet clothes,wearing Wet clothes make most people uncomfortable,The clothes are wet just after washing,People don't like to wear dirty clothes
421,He is older than his father,He is older than his son,Only after your father is born can you be born,He is younger than his mother
422,People can speak loudly in the library,People can borrow books in the library,a library needs to be quiet,People can speak loudly in their home
423,People can't go back to where they are after they circle the earth,There are many human beings on earth,earth is much bigger than human,The earth is approximately a ball
424,human can live on the sun,Man can't stand the high temperature of the sun,man can live on the earth,human don't want live on the sun
425,most cats can swim,most dogs can swim,most cats can catch mice,Cats are usually afraid of water
426,You might feel happy when you're stuck in traffic,The traffic jam may be caused by too many cars,Traffic jams occur in every part of the country,Traffic jams can disrupt your schedule
427,We will feel relaxed from sitting or standing for long periods of time,"After sitting for a long time, standing up will make us relaxed","After standing for a long time, sitting down will relax us",Sitting or standing for long periods of time can clog our blood flow
428,Cats and mice are good friends,The cat eats mice for food,The cat wants to see mice,Rats are not popular
429,The sea is sweet,Seawater is full of salt and mineral,There is a lot of seawater on the earth,The sea looks blue from the land
430,Fireflies are usually annoying,Fireflies are beautiful when they glow,We can see fireflies at night,Fireflies usually appear in groups
431,Flowers have only one color,Many flowers are fragrant,Flowers are beautiful,anthocyanins can be change into many colors
432,Hail comes in winter,Winter is dry and there is not enough water vapor to form hail,Hail can do us harm,Hail is less common
433,A man with a big head must be clever,Smart people are very capable,Not everyone is clever,A man's intelligence usually depends on his education
434,Breathing through the mouse is healthy,The nose is above the mouth,The mouth can be used to eat,The mouth cannot filter out harmful substances
435,you can eat sprouted potatoes,Sprouted potatoes can be found in the supermarket,Sprouted potatoes are poisonous,Sprouted potatoes can be used to grow new potatoes
436,Waste batteries can be thrown away at will,Waste batteries cause pollution,Waste batteries usually run out of power,A discarded battery is useless
437,Vitamin C can be eaten with seafood,Vitamin C is toxic when it's eaten with seafood,Vitamin C is very important to us,Vitamin C can prevent scurvy
438,Smoking is allowed in public places,Smoking is harmful to health,Smoking in public places will cause trouble to others,Smoking is not a good thing
439,children need four hours of sleep every day,Sleep is good for the child,they don't like sleeping,children are supposed to have adequate sleep
440,Ears can smell,nose can smell,Ears are used to hear,The nose is a body organ
441,the Football is played by hand,It's tiring to play football,Football is played by foot,It's funny to play basketball
442,Dinner should be around one o'clock,Some old people don't eat dinner,Lunch is usually plentiful,Dinner should be around six o'clock
443,Westerners like the number thirteen,Westerners are usually religious,Westerners believe that the number thirteen brings bad luck,Westerners like to eat steak
444,eating fruits is bad for health,everyone eats fruits,fruits contain a lot of nutrition,fruits are colorful
445,children need to drink beer before going to school,children are not allowed to drink beer,beer is much tastier,milk is much more expensive than beer
446,I play football every day because I love playing computer games,computer games are nothing to do with football,there are more people loving football than computer games,there are too many kinds of computer games
447,"it is rainy, so we can play football outside",raining makes insects fly low,foot ball stores may close in rainy day,a rainy day is not suitable for playing football
448,students have to copy homework in class,copying homework is too tiring,it is not the right time to copy homework in class,copying homework does harm to your grades
449,Tokyo is in China,Tokyo is the capital of Japan,Japanese are very kind,Japan is much smaller than China
450,"In the evening, I will eat breakfast",it will take more time to eat dinner than eat breakfast,the dinner is pretty delicious,we normally eat breakfast in the morning
451,"I am tired, so I need to go to work",I need to make money by working hard day and night,working will make people more tired,I have two beds in my bedroom
452,birds live in the ocean,there are many animals living in the ocean,many animals can't breathe in water,birds are not able to breathe in water
453,there are different kinds of trees in the ocean,most trees will die if they live in the ocean,trees are tall and green,the ocean is the place for fish to live
454,I take a television to school every day,it is much more interesting to play computer games by mobile phone,the television is too heavy to take to school,a mobile phone is cheaper than television
455,"the bag is too weighty, so I cannot hold it",there is nothing in the light bag,the heavy bag is valuable,it's easier for us to hold lighter things
456,I am ill so I need to see an actor,The actor is able to help you when you are ill,an actor can't cure your disease,the actor is good-looking
457,I work hard so I fail the exam finally,I will be awarded by my parents if I pass the exam,students will fail the exam if they work hard,students will pass the exam if they work hard
458,I finished my work late last night so I am energetic now,people will be energetic if they do less work,people will be tired if they do too much work,people will be tired if they sleep enough
459,it is summer so I need to put on more clothes,wearing too many clothes are too tiring,wearing too many clothes in summer is unaffordable,wearing too many clothes makes you feel very hot and uncomfortable
460,I get up too early so I will be late for school,getting up late is a bad habit,getting up early is a good habit,you will have enough time to go to school if you get up early
461,I am hungry now so I am going to a hospital,there are doctors in the hospital,the restaurant is the place for eating,there is a restaurant in the hospital
462,the food tastes awful so I want to eat it again,the food my mother cooks tastes good,I like trying various food,no one wants to eat awful food again
463,most grasses are black,grasses will be eaten by cows,grasses help carbon cycle,the color of black can't help grasses living well
464,we meet whales in the forest,whales live in the sea and there is no sea in the forest,whales can breathe in air,a whale is a kind of mammal
465,he put out the fire with oil,oil is a kind of liquid,oil makes the fire,the color of the oil is yellow
466,he often listens to the video,videotapes have limited content,a video include the information of vision mainly,it is not convenient to keep
467,there is a sea in the front of the classroom,sea water is salty,a sea is not necessary for a classroom,a sea is too expansive to be inside the classroom
468,we take photos of willow catkins in winter,willow catkins are the seed of willow,willow catkins usually only appear in spring,the color of willow catkins is white
469,he uses a bamboo basket to fetch water,water is transparent,a bamboo basket is too light,a bamboo basket leaks water
470,They feel warmer after the snow,snow will absorb heat when it melts,they wear less when the snow stopped,they have not seen the sun for many days
471,He cut metal with scissors,the metal is too hard to cut with scissors,some parts of scissors are made of metal,some scissors' quality is low
472,my family fly kites on rainy days,the wind is not strong enough in rainy days,they feel cold on rainy days,kites can hardly fly high in rainy day
473,An ant knocked down a tree,ants are animals while trees are plants,an ant is too weak to do that,trees can't crawl like ants
474,they search penguins in the Arctic,penguins only live in the Antarctic,the Arctic is warmer than the Antarctic,penguins can not fly
475,we hear thunder first in thunderstorm days,the time of lightning is short,light travels much faster than sound,the voice of thunder frighten some people
476,the cat caught a tiger,the volume of a cat is smaller than the volume of a tiger,cats can not eat a tiger,tigers are stronger than cats
477,some fish are flying in the sky,fish can not live without water,fish have no wings,fish often swim in groups
478,he built a snowman on a summer day,the summer is the hottest season in a year,there are few snowy days in the summer,the snowman is white
479,most plants provide carbon dioxide for the human,many kinds of plants are green,most plants turn carbon dioxide into oxygen,too much carbon dioxide is harmful to human
480,wheat grows in the ocean,there is no soil for wheat to grow up in the ocean,the water in the ocean is too salty,wheat needs sunlight when growing up
481,he saw eight colors when the rainbow appears,the rainbow is made up of seven colors,the rainbow only appears for a few seconds,red is the first color in the rainbow
482,thirst would make you want to sleep,sleep cannot relieve the feeling of thirst,sleeping too much is not good for your health,sleep relieves the feeling of toil
483,People can grow black hair all the time,Hair is very important to us,The hair may be getting thinner and thinner,When people grow old their hair turns white
484,African skin is mostly white,Africans have more melanin in their skin,Africa is usually not rich,Many Africans are good at sports
485,close relatives can marry,The DNA of close relatives is similar,The children of close relatives may have many defects and are not ethical,Close relatives often share a common ancestor
486,Goldfish usually sleep with their eyes closed,Goldfish have no eyelids,The goldfish is beautiful,Goldfish are usually used to decorate houses
487,the color of Animal blood includes only red,Spider blood is turquoise,Blood is important to us,Human blood is red
488,All animals are active in winter,It can be very cold to come out in winter,Bears hibernate in winter which reduces energy loss,In cold places people wear thick clothes in winter
489,All insects have no sense of smell,Many insects can smell with their antennae,Insects generally smell bad,Some insects are edible
490,The fish is sweet,Fish cannot live without water,The skin of a fish smells fishy,Fish have scales
491,The turtle usually lives very short,Turtle metabolism is slow and its vitality is very strong,The turtle walks slowly,The turtle has a hard shell
492,Leaves grow on trees forever,Leaves are important to trees,"When the leaf gets old, it will fall from the tree",Leaves have many colors
493,Bones are soft,there are bone marrow in bones,Bones contain a lot of minerals that make them hard,Bones can be turned into ashes
494,the Fire has only one color,Fire is an important material of human civilization,fire's color is usually red,burning with Different chemicals will produce different colors
495,Silverware is bad for food,Silver can be used for jewelry,Silver is expensive,Silver can kill bacteria
496,The seawater is blue,The seawater is salty,Seawater has no color,There is a lot of seawater
497,Seawater is drinkable,Seawater is unhealthy,Seawater is drinkable,there are too much salt in seawater
498,We usually hear thunder first and then see lightning,Light travels faster than sound,Thunders are generally scary,Lightning sometimes hurts people
499,Human tears are generally sweet,People usually shed tears when they are sad,Little children like to cry,Tears contain salts
500,Cats generally like to eat vegetables,Cats need taurine from fish,Fish is delicious,Vegetables are nutritious
501,The audiences of concerts are usually noisy,Attending a classical concert need a ticket,Concerts are usually elegant,If the audience is noisy the music cannot be heard
502,wild geese fly north in winter In the northern hemisphere,the winter in The north of northern hemisphere is cold and not suitable for wild geese,wild Geese migrate in flocks,Wild geese can fly high
503,"In nature, the leaves of all plants are oval",The leaves of plants are usually green,Some plants have round leaves,Some of the leaves of plants are edible
504,There may be more polluted after the rain,Rain makes the mood worse,Some people don't like rain,Rain can absorb pollution
505,The Olympic Games for the disabled,The disabled will participate in the Paralympic Games,The Olympics are for all athletes,The disabled are normally shy
506,Cloth bags can hold water,Water can leak out of the cloth bags,Liquid will spill from cloth bags,We can't live without water
507,when it snows it isn't cold,Snow should exist at low temperatures,It often snows in the Antarctic,The snow is white
508,I am born in Japan so I am Chinese,Japan famous for its cartoon in the world,Japan is located in the east of Asian,people who are born in Japan are Japanese
509,humans walk with four legs,cats walk with four legs,humans only have two legs,humans usually walk wearing shoes
510,a car is a kind of animal,I go to school by car,most animals are very cute,Cars are lifeless
511,sea water is sweet,I love swimming in the sea,Children like to eat sugar,Sea water contains salt instead of sugar
512,If you want to go on the internet then you should buy a book,Books can't connect to the Internet,We can get knowledge from books,I love reading books
513,Christmas is the thirteenth month of the year,There are only twelve months in a year,Thirteen is not a lucky number,I like Christmas
514,we can judge whether one can buy a beer by his height,It is difficult to judge a person's height by age,he is taller than his father,It is difficult to judge a person's age by height
